Accounting Society,The Accounting Society is a student-based organization dedicated to promoting professional development among out members
Arts Collective @ CSUDH,Interdisciplinary community organization dedicated to facilitating the accessibility and engagement of the arts.
Black Student Union,We are the Black Student Union. It is our mission to be a vessel of love and uplifting; to foster creative expression; and be a main space for Black student life to flourish.
Chemistry & Biochemistry Club,The club's purpose is to expand the perception and appreciation of Chemistry and Biochemistry.
Cyber Security Club,"The Cybersecurity Club is a group of ethical hackers, where knowledgable students may discuss security issues and implement solutions."
Esports Associate at CSUDH,The CSUDH Esports Association aims to incorporate a competative and well versed community that harbors sportsmanship and growth among gaming.
History Club,"The CSUDH history club's goal is to create connections, and assist members achieve their academic goals."
Innovation Incubator,A robust multi-faceted business incubator and accelerator. We offer mentorships and educational opportunities.
Korean Culture Club,The Korean Culture Club is a fun and interactive place for students to appreciate Korean culture! Assists students to communicate effetively and network with others.
Latino Student Business Association,"Provide opportunities that will enable members to grow professionally, personally, and academically, through education, leadership, and organizational support. "
Logistics and Supply Chain Management,The mission of the Logistics and Supply Chain Management Club is to  to educate and establish networking opportunities to students.
Math Club at CSUDH,The purpose of this organization shall be to spread the joy of mathematics throughout the CSUDH campus by promoting social and intellectual environment to all students.
Pre-Law Society,The purpose of the organization is to provide students with the knowledge necessary to navigate the law school application process and grow our network.
,
,
,
name,message
name ,message
